Issue Key,Tipo de Problema,Rework Score,Reopen Count,Backward Moves,QA Returns,Revisitas Status,Conformance Score,Conforme Basico,Lead Time Fluxo (dias),Done Final Author,Done Final Date,Variant
W1NNR-1869,Tarefa,0,0,0,0,0,0.6667,Nao,4.2831,Thaís Cabral,2025-12-12 19:24:00,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1870,Tarefa,0,0,0,0,0,0.6667,Nao,4.2605,Thaís Cabral,2025-12-12 19:24:01,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1871,Tarefa,0,0,0,0,0,0.6667,Nao,4.0563,Thaís Cabral,2025-12-12 19:24:02,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1872,Tarefa,0,0,0,0,0,0.6667,Nao,2.2334,Thaís Cabral,2025-12-12 19:24:03,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1873,Tarefa,0,0,0,0,0,0.6667,Nao,2.9307,Thaís Cabral,2025-12-12 19:24:04,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1874,Tarefa,0,0,0,0,0,0.6667,Nao,2.2303,Thaís Cabral,2025-12-12 19:24:04,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1875,Tarefa,0,0,0,0,0,0.6667,Nao,2.937,Thaís Cabral,2025-12-12 19:24:06,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1876,Tarefa,0,0,0,0,0,0.6667,Nao,3.0423,Thaís Cabral,2025-12-12 19:24:08,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1878,Tarefa,0,0,0,0,0,0.6667,Nao,2.9336,Thaís Cabral,2025-12-12 19:23:44,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1881,Tarefa,0,0,0,0,0,0.6667,Nao,8.2045,Lorraine Caribe,2025-12-19 19:15:05,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1882,Tarefa,0,0,0,0,0,0.6667,Nao,1.0893,Thaís Cabral,2025-12-12 19:23:39,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1885,Tarefa,0,0,0,0,0,0.6667,Nao,14.23,Lorraine Caribe,2026-01-12 19:42:13,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1886,Tarefa,0,0,0,0,0,0.6667,Nao,14.0116,Lorraine Caribe,2026-01-12 19:42:06,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1888,Tarefa,0,0,0,0,0,0.6667,Nao,7.1876,Lorraine Caribe,2026-01-12 19:42:14,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1889,Tarefa,0,0,0,0,0,0.6667,Nao,12.0676,Lorraine Caribe,2026-01-12 19:42:11,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1890,Tarefa,0,0,0,0,0,0.6667,Nao,14.1628,Lorraine Caribe,2026-01-12 19:42:03,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1891,Tarefa,0,0,0,0,0,0.6667,Nao,7.346,Lorraine Caribe,2026-01-12 19:42:17,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1892,Tarefa,0,0,0,0,0,0.6667,Nao,7.3464,Lorraine Caribe,2026-01-12 19:42:09,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1893,Tarefa,0,0,0,0,0,0.6667,Nao,19.8975,Lorraine Caribe,2026-01-12 19:42:04,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
